objid,ra,dec,u,g,r,i,z,veldisp,PetroRad_r,specobjid,redshift,deVRad_r,fracDev_r,expRad_r,SNoise,ptype,sclass
1.24E+18,194.8246992,28.62400135,18.22332,17.03565,16.54995,16.30502,16.1428,38.44994,5.362382,2.26E+18,0.03470419,4.114556,0.7066581,2.452787,22.18204,GALAXY,GALAXY
1.24E+18,194.6472309,27.26470083,16.1236,15.2825,14.97778,14.83019,14.64836,38.8414,11.6121,2.52E+18,0.02453957,9.330853,0.5182436,4.421986,32.11228,GALAXY,GALAXY
1.24E+18,194.9196975,28.1446092,20.03806,18.3702,17.66162,17.29202,17.06267,39.08372,5.41986,2.52E+18,0.02564753,5.116061,0.2452963,2.335843,12.92528,GALAXY,GALAXY
1.24E+18,195.0363596,28.15985444,18.08786,16.21673,15.49222,15.09995,14.8491,39.39228,12.60947,2.52E+18,0.0248898,9.289003,0.7305118,4.418601,25.45687,GALAXY,GALAXY
1.24E+18,195.1716357,28.04511955,19.76212,18.06282,17.33548,16.98442,16.70017,39.46178,4.477866,2.52E+18,0.02876968,3.059595,0.4268697,1.786883,21.11534,GALAXY,GALAXY
1.24E+18,194.936228,27.88976195,19.33815,17.76295,17.05694,16.71971,16.44641,39.52147,5.740847,2.52E+18,0.02270657,4.185131,0.6328692,2.005544,16.9336,GALAXY,GALAXY
1.24E+18,194.6128216,27.70661559,20.19656,18.59348,17.93033,17.6015,17.4038,39.66101,5.919471,2.52E+18,0.02335642,5.701218,0.3654217,2.460278,9.951136,GALAXY,GALAXY
1.24E+18,194.692141,27.86086549,19.96004,18.32919,17.66748,17.30231,17.11694,39.82193,7.310932,2.52E+18,0.02927363,7.412602,0.332918,2.904718,13.94088,GALAXY,GALAXY
1.24E+18,194.1766118,27.54825874,18.89945,17.49417,16.84509,16.51316,16.26223,39.88025,6.05673,2.52E+18,0.02531836,7.610151,0.2898526,3.727359,25.28812,GALAXY,GALAXY
1.24E+18,195.3294073,28.12813846,19.12488,17.55535,16.87344,16.53245,16.27992,40.01764,5.07718,2.52E+18,0.0227095,4.540294,0.3751992,2.546635,24.7767,GALAXY,GALAXY
1.24E+18,194.4446084,28.14078459,18.14766,16.44756,15.75313,15.40981,15.13596,40.26563,10.46089,2.52E+18,0.02138568,9.891989,0.7283946,4.79959,26.13838,GALAXY,GALAXY
1.24E+18,195.0924516,28.24709062,19.26687,17.62037,16.88378,16.5348,16.25708,40.27411,6.485757,2.52E+18,0.02508161,7.940703,0.2913297,3.811124,20.04556,GALAXY,GALAXY
1.24E+18,195.4498988,27.35481464,19.43471,17.79414,17.10214,16.7886,16.6113,40.80276,8.219234,2.52E+18,0.02019958,12.01744,0.2101236,4.993628,13.4919,GALAXY,GALAXY
1.24E+18,194.826472,27.71573178,19.01295,17.44312,16.73638,16.38217,16.14339,40.89725,4.687795,2.52E+18,0.02225661,2.86131,0.8169506,1.775678,28.79192,GALAXY,GALAXY
1.24E+18,195.0464073,28.06524648,19.28296,17.69565,16.98452,16.62393,16.37693,41.05962,6.463664,2.52E+18,0.02454435,5.115169,0.4318944,2.413485,19.31966,GALAXY,GALAXY
1.24E+18,195.0840399,27.843494,19.14049,17.58034,16.89627,16.54598,16.32455,41.47903,7.182799,2.52E+18,0.02624773,7.945253,0.2908827,3.253954,21.1243,GALAXY,GALAXY
1.24E+18,194.6531293,27.84948206,19.77178,17.99343,17.25528,16.88105,16.56207,41.75192,4.976048,2.52E+18,0.02055939,3.635687,0.436499,1.891422,22.97385,GALAXY,GALAXY
1.24E+18,194.6576242,27.46395368,18.34377,16.49655,15.83989,15.63698,15.28954,41.83993,12.25337,2.52E+18,0.0209099,19.12624,0.1533076,7.494738,24.52518,GALAXY,GALAXY
1.24E+18,195.1390204,27.82424454,18.06081,16.42698,15.80813,15.49631,15.27099,41.95188,8.338126,2.52E+18,0.02734583,8.393758,0.5334314,3.922844,28.10203,GALAXY,GALAXY
1.24E+18,194.1618685,28.08115027,18.35228,16.63233,15.84505,15.48125,15.1912,41.95336,11.03375,2.52E+18,0.02704673,11.09396,0.3636284,4.862319,25.67793,GALAXY,GALAXY
